Date,Division Letter,SD Letter,Area Commands,House Gatherings Attended,House Gatherings in Breach of Restrictions,FPNS,Arrests,House Gatherings involving Students
28/08/2020,A,AK,Aberdeen City North,1,,0,0,
28/08/2020,A,AV,Aberdeenshire South,1,,0,0,
28/08/2020,P,PA,Central,1,,0,0,
28/08/2020,C,CA,Clackmannanshire,1,,0,0,
28/08/2020,V,VA,Dumfriesshire,1,,0,0,
28/08/2020,D,DC,Dundee,1,,0,0,
28/08/2020,U,UC,East Ayrshire,2,,0,0,
28/08/2020,G,GJ,East Dunbartonshire,1,,0,0,
28/08/2020,C,CF,Falkirk,1,,0,0,
28/08/2020,G,GF,Glasgow North,1,,0,0,
28/08/2020,G,GD,Glasgow South East,3,,0,0,
28/08/2020,Q,QB,Hamilton & Clydesdale,1,,0,0,
28/08/2020,N,NA,Inverness,2,,0,0,
28/08/2020,J,JL,Midlothian,1,,0,0,
28/08/2020,Q,QG,Monklands & Cumbernauld,3,,0,0,
28/08/2020,A,AE,Moray,1,,0,0,
28/08/2020,Q,QE,"Motherwell, Wishaw and Bellshill",1,,0,0,
28/08/2020,U,UA,North Ayrshire,1,,0,0,
28/08/2020,E,ED,North East,1,,0,0,
28/08/2020,N,NE,North Highlands,1,,0,0,
28/08/2020,E,EN,North West,3,1,0,0,
28/08/2020,K,KA,Paisley,1,,0,0,
28/08/2020,D,DP,Perth & Kinross,1,,0,0,
28/08/2020,J,JB,Scottish Borders,2,,0,0,
28/08/2020,E,EC,South East,1,,0,0,
28/08/2020,N,NB,South Highlands,1,,0,0,
28/08/2020,E,ES,South West,1,,0,0,
28/08/2020,C,CS,Stirling,2,1,0,0,
28/08/2020,P,PD,West,1,,0,0,
28/08/2020,L,LA,West Dumbartonshire,4,,0,0,
29/08/2020,A,AK,Aberdeen City North,4,,0,0,
29/08/2020,A,AU,Aberdeen City South,2,,0,0,
29/08/2020,A,AP,Aberdeenshire North,2,,0,0,
29/08/2020,D,DE,Angus,2,,0,0,
29/08/2020,P,PA,Central,2,,0,0,
29/08/2020,C,CA,Clackmannanshire,1,,0,0,
29/08/2020,D,DC,Dundee,10,,0,0,
29/08/2020,P,PB,East,1,,0,0,
29/08/2020,U,UC,East Ayrshire,5,,0,0,
29/08/2020,G,GJ,East Dunbartonshire,1,1,5,2,
